,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ARNTL2,4.00571E-32,0.629994027,0.197,0.041,1.1204E-27
DUSP16,4.93153E-32,0.530154855,0.445,0.214,1.37935E-27
DIAPH2,5.00149E-32,0.488278868,0.667,0.389,1.39892E-27
RPL29,6.72157E-32,-0.455225523,0.027,0.13,1.88002E-27
PLK2,8.14002E-32,0.524216266,0.178,0.03,2.27676E-27
GPM6A,8.51748E-32,-0.871048259,0.034,0.141,2.38234E-27
LINC00511,8.82938E-32,1.070633047,0.157,0.02,2.46958E-27
AC233296.1,9.07624E-32,0.680279951,0.206,0.047,2.53863E-27
LRRC49,9.86997E-32,0.641458668,0.317,0.126,2.76063E-27
ANPEP,1.04245E-31,-0.984809497,0.236,0.386,2.91572E-27
SLC47A1,1.10246E-31,-0.741933757,0.202,0.365,3.08359E-27
GTF2F2,1.18875E-31,0.562687586,0.392,0.179,3.32494E-27
CLIC6,1.22933E-31,0.602048678,0.155,0.019,3.43843E-27
WWTR1,1.29675E-31,0.697592742,0.723,0.505,3.627E-27
AC007923.4,1.48073E-31,0.550253658,0.135,0.008,4.1416E-27
SLC22A5,1.50406E-31,-0.758587456,0.203,0.369,4.20686E-27
BMP1,1.52703E-31,0.421143589,0.24,0.067,4.27111E-27
AHR,1.55823E-31,0.540287308,0.346,0.135,4.35836E-27
SDK1,1.62614E-31,0.32185894,0.937,0.748,4.54831E-27
GTDC1,1.69497E-31,0.559889873,0.536,0.296,4.74082E-27
GREB1,1.97322E-31,-0.469517502,0.017,0.107,5.51911E-27
IVNS1ABP,1.98674E-31,-0.776116262,0.21,0.379,5.55691E-27
CGNL1,2.00555E-31,-0.869555713,0.53,0.666,5.60953E-27
HIVEP3,2.15192E-31,0.621681513,0.339,0.134,6.01893E-27
NRK,2.2769E-31,-0.522855635,0.041,0.153,6.36849E-27
CTNNAL1,2.66947E-31,0.571389747,0.286,0.101,7.46652E-27
AC138123.1,2.73179E-31,-0.898733124,0.114,0.264,7.64081E-27
UBA52,2.81419E-31,-0.408887838,0.029,0.132,7.87129E-27
PICALM,3.38293E-31,0.493672013,0.89,0.749,9.46207E-27
ARHGEF10,4.04828E-31,0.516985563,0.384,0.173,1.1323E-26
TRPC1,4.41926E-31,0.533451225,0.431,0.208,1.23607E-26
ADAMTS10,4.42106E-31,0.507647525,0.21,0.05,1.23657E-26
LDLRAD3,4.6248E-31,0.497350364,0.321,0.122,1.29356E-26
LUC7L3,5.26463E-31,-0.753169228,0.678,0.745,1.47252E-26
TBC1D16,5.29413E-31,0.602742774,0.424,0.21,1.48077E-26
RHOQ,6.24045E-31,0.462843215,0.314,0.119,1.74545E-26
C4orf19,6.60248E-31,0.540733233,0.569,0.329,1.84671E-26
TUBB6,6.92004E-31,0.388252321,0.17,0.028,1.93554E-26
SLC44A5,7.4841E-31,0.526525221,0.264,0.085,2.0933E-26
RAB31,7.55845E-31,0.542513264,0.254,0.078,2.1141E-26
WNT2B,8.8434E-31,0.588658469,0.238,0.07,2.4735E-26
FAM49B,9.44429E-31,0.597993203,0.681,0.438,2.64157E-26
USP32,9.62219E-31,0.446047708,0.595,0.341,2.69133E-26
AC007656.2,1.00401E-30,0.51457683,0.138,0.011,2.80821E-26
SLC47A2,1.01654E-30,-0.915559034,0.097,0.234,2.84325E-26
ADORA2A-AS1,1.03573E-30,-0.489135867,0.03,0.132,2.89694E-26
BNIP3L,1.09105E-30,-0.817925552,0.184,0.337,3.05168E-26
D2HGDH,1.15011E-30,-0.914772474,0.211,0.36,3.21687E-26
BGN,1.27323E-30,0.328059293,0.14,0.012,3.56123E-26
SERF2,1.40858E-30,-0.339589644,0.018,0.107,3.9398E-26
AC083837.1,1.47772E-30,0.550028186,0.431,0.2,4.13318E-26
SEMA6C,1.65582E-30,-0.543552031,0.024,0.118,4.63134E-26
ANKRD36C,1.72162E-30,0.585010117,0.453,0.225,4.81538E-26
AUTS2,1.74024E-30,0.580931516,0.793,0.572,4.86746E-26
GNG12,1.88303E-30,0.545980276,0.624,0.39,5.26683E-26
LINC01426,1.96376E-30,0.456536867,0.118,0.002,5.49262E-26
AC113386.1,2.16081E-30,0.705880099,0.2,0.048,6.0438E-26
SACS,2.2131E-30,0.513115526,0.249,0.076,6.19003E-26
ZBED3-AS1,2.39929E-30,-0.73118575,0.086,0.219,6.7108E-26
STPG2,2.63495E-30,-0.686487155,0.288,0.463,7.36997E-26
DIAPH3,2.68944E-30,0.63949559,0.284,0.101,7.52237E-26
DMGDH,2.88401E-30,-0.768700484,0.209,0.371,8.06659E-26
TOB2,3.09932E-30,-0.727188666,0.064,0.184,8.66879E-26
RPS16,3.49547E-30,-0.339371262,0.021,0.112,9.77683E-26
RPL14,3.7056E-30,-0.352034401,0.017,0.104,1.03646E-25
IER2,3.89486E-30,-0.465529919,0.027,0.125,1.08939E-25
LMCD1-AS1,3.99715E-30,0.679066051,0.531,0.31,1.118E-25
RHOBTB3,4.17489E-30,-0.806500633,0.208,0.369,1.16772E-25
AL359915.1,5.92366E-30,-0.534441442,0.026,0.122,1.65685E-25
AC005062.1,5.97247E-30,0.515326218,0.39,0.176,1.6705E-25
RPS3,6.36539E-30,-0.358987102,0.021,0.112,1.7804E-25
BX322234.1,6.74624E-30,0.749307411,0.158,0.023,1.88692E-25
SIM1,8.98075E-30,-0.610620013,0.091,0.227,2.51191E-25
RPLP2,1.00704E-29,-0.383391877,0.037,0.144,2.8167E-25
TRAF3,1.06331E-29,0.469802236,0.485,0.247,2.97409E-25
KCNIP4,1.17513E-29,1.478245188,0.493,0.32,3.28683E-25
PDZRN3,1.29355E-29,-0.832500576,0.254,0.405,3.61805E-25
STAT3,1.32585E-29,0.513202988,0.609,0.359,3.7084E-25
SRPK2,1.34081E-29,0.505215313,0.809,0.616,3.75026E-25
CMSS1,1.40093E-29,0.553548205,0.524,0.288,3.91839E-25
SUGCT,1.46128E-29,-0.614643462,0.586,0.718,4.0872E-25
DGKB,1.46542E-29,-0.677135204,0.045,0.156,4.09879E-25
RIPOR2,1.47114E-29,0.44971831,0.34,0.136,4.11477E-25
SMYD2,1.5145E-29,0.547362811,0.274,0.098,4.23606E-25
SSBP2,1.54886E-29,0.523766838,0.62,0.381,4.33217E-25
ZFAT,1.60516E-29,-0.719286298,0.13,0.275,4.48964E-25
FREM1,1.68058E-29,-0.798966051,0.173,0.323,4.70059E-25
AC013451.1,1.8239E-29,0.476035899,0.112,0.001,5.10146E-25
SDC1,1.89751E-29,-0.370380015,0.021,0.112,5.30732E-25
SMURF1,1.96168E-29,0.473911181,0.651,0.391,5.48683E-25
KLF6,2.15041E-29,0.50821031,0.709,0.476,6.01469E-25
CTTN,2.60551E-29,0.405200476,0.456,0.224,7.2876E-25
PPP1R13L,2.63543E-29,0.474335299,0.25,0.081,7.3713E-25
LYPLAL1,2.78116E-29,0.620227438,0.67,0.467,7.77889E-25
DDX17,2.82394E-29,-0.620830055,0.7,0.803,7.89855E-25
PCAT1,2.86765E-29,0.534266014,0.781,0.567,8.02082E-25
MITF,3.52358E-29,0.600402125,0.767,0.568,9.85545E-25
DPP6,3.56251E-29,0.719658535,0.246,0.08,9.96433E-25
JUND,3.80646E-29,-0.541971673,0.093,0.228,1.06467E-24
CA8,4.72725E-29,-0.439112371,0.02,0.107,1.32221E-24
SGCE,7.00091E-29,0.488111403,0.332,0.144,1.95815E-24
CCND2,7.17439E-29,0.380138644,0.156,0.024,2.00668E-24
PTPN21,7.26059E-29,0.479481026,0.376,0.175,2.03079E-24
GHR,7.915E-29,-0.829770881,0.24,0.392,2.21383E-24
LDLR,8.74193E-29,0.617966131,0.159,0.027,2.44512E-24
RGN,9.15013E-29,-0.786651924,0.115,0.253,2.55929E-24
SUSD1,9.64417E-29,0.446021075,0.362,0.161,2.69747E-24
HSD17B14,1.10503E-28,-0.620010269,0.057,0.171,3.09076E-24
IQCK,1.12625E-28,0.515751821,0.406,0.199,3.15013E-24
DDX10,1.16486E-28,0.484806701,0.538,0.299,3.25812E-24
AC008554.1,1.33072E-28,-0.867294941,0.29,0.442,3.72202E-24
TMEM130,1.35314E-28,0.417976592,0.129,0.01,3.78474E-24
ID2,1.54931E-28,-0.663608606,0.074,0.195,4.33342E-24
NMT2,1.58118E-28,0.543206967,0.376,0.176,4.42255E-24
MYRF,1.60216E-28,0.472566537,0.254,0.085,4.48125E-24
TACC2,1.6211E-28,-0.738522107,0.288,0.442,4.53421E-24
AC108519.1,1.77525E-28,-0.912342696,0.229,0.38,4.96537E-24
COL18A1,1.84423E-28,-0.803643885,0.462,0.58,5.15832E-24
ADAMTS2,1.84605E-28,0.551165942,0.149,0.021,5.16342E-24
NRP1,1.90425E-28,0.426421416,0.771,0.523,5.32619E-24
SLC37A3,2.09125E-28,0.509833607,0.308,0.124,5.84922E-24
NEK11,2.26142E-28,0.513378439,0.451,0.239,6.32518E-24
MAPT,2.49465E-28,-0.537091867,0.033,0.13,6.97753E-24
ERC2,2.51246E-28,0.540615205,0.305,0.123,7.02736E-24
PTBP3,2.52998E-28,0.571939438,0.699,0.466,7.07636E-24
SHISA9,2.73177E-28,0.937783435,0.359,0.173,7.64076E-24
GNA14,3.29724E-28,0.477396973,0.228,0.067,9.22239E-24
PARP8,5.03707E-28,0.41575578,0.467,0.237,1.40887E-23
ST3GAL6,5.2128E-28,-0.686828147,0.092,0.218,1.45802E-23
ADAM28,5.39127E-28,0.384929956,0.195,0.048,1.50794E-23
RBM47,6.27325E-28,-0.624138068,0.665,0.746,1.75463E-23
ECHS1,6.61564E-28,-0.533088336,0.04,0.142,1.85039E-23
PDE5A,7.95571E-28,0.410166816,0.34,0.144,2.22521E-23
AC104365.1,8.12781E-28,0.561730316,0.185,0.046,2.27335E-23
FAS,8.92838E-28,0.432654987,0.182,0.042,2.49727E-23
STK17A,8.94828E-28,0.39130351,0.233,0.072,2.50283E-23
SPAG17,9.11641E-28,0.430574043,0.39,0.185,2.54986E-23
AL121827.2,9.49017E-28,0.396894608,0.12,0.007,2.6544E-23
PPP1R9A,1.02222E-27,0.507072156,0.82,0.606,2.85915E-23
TFDP2,1.1065E-27,-0.719636532,0.426,0.56,3.09489E-23
AP001442.1,1.14962E-27,0.517454759,0.156,0.028,3.2155E-23
AGBL4,1.3187E-27,0.296472359,0.857,0.628,3.68839E-23
ABHD6,1.35055E-27,-0.59045493,0.06,0.176,3.7775E-23
VTCN1,1.38867E-27,0.417903724,0.133,0.014,3.8841E-23
CCDC14,1.48165E-27,0.407033054,0.579,0.332,4.14418E-23
CHN1,1.51898E-27,0.542467996,0.243,0.083,4.2486E-23
LRRC1,1.77649E-27,0.466331134,0.365,0.167,4.96883E-23
FAAH,1.80201E-27,-0.688418059,0.069,0.186,5.04023E-23
CACNB4,1.8969E-27,-0.592935354,0.073,0.195,5.30563E-23
LINC02331,1.93946E-27,0.523998362,0.136,0.017,5.42468E-23
ACE2,1.95534E-27,-0.469486378,0.029,0.122,5.46909E-23
MAMLD1,2.03959E-27,0.50644863,0.301,0.117,5.70472E-23
EFHC1,2.15441E-27,0.473089076,0.294,0.118,6.02588E-23
NRCAM,2.40184E-27,-0.65591338,0.077,0.201,6.71796E-23
ERBB3,2.83672E-27,-0.670874551,0.098,0.226,7.9343E-23
ARL17B,2.97027E-27,0.409468178,0.376,0.175,8.30784E-23
ACTG1,2.99958E-27,-0.462570719,0.135,0.292,8.38983E-23
SCN7A,3.2461E-27,-0.570980265,0.055,0.166,9.07933E-23
CD44,3.50246E-27,0.689252745,0.128,0.013,9.79638E-23
SULF2,3.51958E-27,0.523374667,0.348,0.156,9.84426E-23
NECTIN2,3.73313E-27,0.402466546,0.384,0.178,1.04416E-22
NPFFR2,4.3203E-27,0.594288715,0.103,0.001,1.20839E-22
KIFC2,4.43276E-27,-0.638387703,0.056,0.165,1.23984E-22
ZNF124,4.67477E-27,0.502035746,0.311,0.131,1.30753E-22
PHYHIPL,4.87501E-27,-0.846576102,0.164,0.309,1.36354E-22
AC099792.1,5.26703E-27,0.447632121,0.113,0.006,1.47319E-22
CAST,5.53053E-27,0.426769748,0.596,0.354,1.54689E-22
BAZ1A,6.39784E-27,0.36881742,0.398,0.185,1.78948E-22
ABAT,6.5636E-27,-0.699282635,0.109,0.242,1.83584E-22
STAT1,7.47071E-27,0.539018991,0.297,0.12,2.08956E-22
CDH2,8.02481E-27,0.552418585,0.635,0.405,2.24454E-22
TSBP1-AS1,8.02941E-27,0.44628004,0.17,0.035,2.24582E-22
AC104695.4,8.101E-27,0.491182187,0.183,0.046,2.26585E-22
ARSB,8.462E-27,-0.968940046,0.205,0.343,2.36682E-22
AC005726.1,8.72284E-27,-0.601569979,0.044,0.147,2.43978E-22
KDM6A,9.0425E-27,0.363543635,0.695,0.451,2.52919E-22
RSU1,1.01645E-26,0.408647999,0.435,0.225,2.843E-22
GLIPR2,1.02222E-26,0.369811428,0.112,0.006,2.85915E-22
EYA2,1.10529E-26,-0.694204642,0.19,0.34,3.09151E-22
MIR181A2HG,1.26744E-26,0.490824633,0.21,0.064,3.54503E-22
AC004870.4,1.27405E-26,-0.605530718,0.022,0.106,3.56352E-22
NCL,1.31543E-26,-0.591740699,0.043,0.144,3.67925E-22
SMTNL2,1.62305E-26,-0.443182095,0.037,0.134,4.53967E-22
AGMO,1.6501E-26,-0.775444036,0.229,0.376,4.61534E-22
XKR6,1.65388E-26,0.516116724,0.5,0.285,4.62591E-22
PAM,1.74466E-26,0.477611111,0.802,0.581,4.8798E-22
CAMTA1,2.13241E-26,0.445679828,0.671,0.432,5.96436E-22
ALDH4A1,2.27678E-26,-0.578935143,0.093,0.221,6.36816E-22
NPSR1-AS1,2.31232E-26,-0.496142574,0.038,0.135,6.46757E-22
UBR1,2.45378E-26,0.372633168,0.523,0.287,6.86322E-22
LSM14A,2.51415E-26,0.467633645,0.689,0.457,7.03209E-22
DAPK3,2.61572E-26,0.429440679,0.192,0.052,7.31616E-22
ADAM17,2.86887E-26,0.379179422,0.389,0.182,8.02423E-22
AC002429.2,2.96102E-26,0.529791851,0.197,0.058,8.28197E-22
ADAMTS12,3.52807E-26,0.486693201,0.17,0.037,9.868E-22
RALY,3.66116E-26,0.367983637,0.391,0.185,1.02403E-21
LINC01138,3.6688E-26,0.464921694,0.321,0.139,1.02616E-21
ABI2,3.80157E-26,0.443211666,0.534,0.308,1.0633E-21
RFX2,3.84437E-26,0.430097507,0.331,0.139,1.07527E-21
LINC01876,3.92034E-26,0.688815694,0.278,0.11,1.09652E-21
FMNL2,3.96118E-26,0.670841065,0.745,0.53,1.10794E-21
AC087477.2,3.98186E-26,0.513131484,0.258,0.098,1.11373E-21
ARHGAP29,4.20995E-26,0.56868846,0.795,0.596,1.17752E-21
ABCC4,4.47937E-26,0.440888099,0.706,0.475,1.25288E-21
LGMN,4.95587E-26,-0.450977378,0.022,0.103,1.38616E-21
GPT2,5.43109E-26,-0.501989028,0.028,0.116,1.51908E-21
GALNT1,5.46385E-26,0.385361874,0.369,0.173,1.52824E-21
LIFR,5.49175E-26,-0.839390776,0.347,0.477,1.53604E-21
EEA1,5.85398E-26,0.518747271,0.563,0.345,1.63736E-21
RAPH1,6.18922E-26,0.39544753,0.351,0.158,1.73112E-21
TMEM241,6.21428E-26,0.489612573,0.336,0.155,1.73813E-21
ETNK2,6.2801E-26,-0.443830494,0.023,0.105,1.75654E-21
ELF3,6.41366E-26,0.503025738,0.369,0.172,1.7939E-21
DAPK2,6.58287E-26,0.480487377,0.169,0.038,1.84123E-21
GPD2,6.66215E-26,0.432691753,0.386,0.187,1.8634E-21
MYEF2,6.71319E-26,0.397731422,0.479,0.263,1.87768E-21
RBFOX2,7.17742E-26,0.380452947,0.663,0.417,2.00753E-21
ADGRG1,7.28702E-26,0.39385856,0.388,0.186,2.03818E-21
RAP1B,7.30137E-26,0.446477771,0.641,0.39,2.04219E-21
PRR13,7.54089E-26,-0.461150704,0.04,0.136,2.10919E-21
CRLS1,7.97864E-26,0.412710036,0.412,0.211,2.23162E-21
SEC24D,8.19195E-26,0.358274769,0.213,0.063,2.29129E-21
ENPEP,8.22656E-26,-0.73740251,0.409,0.534,2.30097E-21
PRAG1,8.47092E-26,0.445988807,0.244,0.085,2.36932E-21
THADA,9.5683E-26,0.444359682,0.672,0.432,2.67625E-21
CHIC2,1.00453E-25,0.464406322,0.438,0.23,2.80968E-21
TRPV4,1.0957E-25,-0.735627351,0.106,0.231,3.06468E-21
MEGF11,1.0979E-25,0.480117717,0.106,0.005,3.07083E-21
ANKHD1,1.25561E-25,-0.724835234,0.574,0.64,3.51194E-21
AL139317.5,1.55346E-25,0.474212117,0.216,0.071,4.34502E-21
PHF14,1.57362E-25,0.332441534,0.66,0.402,4.40142E-21
ZFP36L1,1.62873E-25,0.435411262,0.682,0.477,4.55556E-21
DOCK9,1.90112E-25,0.39894365,0.451,0.232,5.31744E-21
ARL13B,1.96201E-25,0.383509453,0.277,0.109,5.48773E-21
L3MBTL4,1.96254E-25,-0.592496471,0.758,0.786,5.48921E-21
SORBS1,2.12273E-25,0.418043613,0.42,0.207,5.93729E-21
ABHD15-AS1,2.29559E-25,0.43472223,0.195,0.055,6.42076E-21
MYO1B,2.36224E-25,0.403613621,0.451,0.24,6.60719E-21
SLC16A12,2.46881E-25,-0.367568045,0.599,0.746,6.90527E-21
TMSB4X,2.93628E-25,-0.339612446,0.031,0.123,8.21277E-21
RPL27A,2.94459E-25,-0.341896534,0.037,0.132,8.23602E-21
GFPT1,3.00221E-25,0.404111819,0.325,0.144,8.39718E-21
AC092118.1,3.36039E-25,0.477328558,0.154,0.033,9.39902E-21
PRR5,3.62776E-25,-0.72969778,0.08,0.192,1.01469E-20
SULT1C4,3.78323E-25,0.504838183,0.398,0.203,1.05817E-20
SNHG5,4.21327E-25,-0.682023283,0.075,0.187,1.17845E-20
UPK3BL1,5.67264E-25,-0.470321454,0.034,0.125,1.58664E-20
KCNJ15,6.42864E-25,-0.795970632,0.451,0.586,1.79809E-20
EHD4,7.01688E-25,0.393182875,0.202,0.061,1.96262E-20
SON,8.48533E-25,-0.784072853,0.497,0.58,2.37335E-20
SELENOO,9.17412E-25,-0.738227793,0.124,0.247,2.566E-20
COX7B,9.61845E-25,-0.345200533,0.039,0.133,2.69028E-20
ITGB1,9.88687E-25,0.528001398,0.51,0.299,2.76536E-20
PIP4K2A,9.96796E-25,0.40830621,0.443,0.233,2.78804E-20
MEIS2,1.00606E-24,0.504817356,0.342,0.158,2.81396E-20
PSME4,1.05042E-24,0.353609165,0.549,0.321,2.93802E-20
PKNOX2,1.16311E-24,0.499444272,0.156,0.034,3.25322E-20
FAM13B,1.16705E-24,0.372963652,0.572,0.336,3.26424E-20
BHMT,1.17992E-24,-0.791155685,0.218,0.363,3.30024E-20
UBE2E3,1.251E-24,0.483758813,0.517,0.313,3.49905E-20
FYB2,1.27344E-24,0.422552935,0.432,0.231,3.56182E-20
HLA-B,1.38592E-24,-0.531107238,0.075,0.19,3.87643E-20
RHEB,1.41869E-24,0.408971136,0.449,0.242,3.96806E-20
SHISA5,1.51103E-24,0.291551236,0.178,0.046,4.22634E-20
MALT1,1.58427E-24,0.547892796,0.589,0.358,4.43119E-20
TENM1,1.72807E-24,-0.700473352,0.257,0.393,4.83342E-20
STIM1,1.89493E-24,0.358063395,0.389,0.19,5.30011E-20
CCDC50,1.97049E-24,0.445615116,0.535,0.327,5.51145E-20
KLF9,2.05028E-24,-0.70938212,0.127,0.252,5.73463E-20
PTPN2,2.05556E-24,0.374798812,0.401,0.202,5.74941E-20
ATP5MG,2.132E-24,-0.31436858,0.024,0.104,5.96321E-20
CASC19,2.32272E-24,0.447561157,0.167,0.041,6.49665E-20
DPH6-DT,2.39529E-24,-0.761952223,0.197,0.335,6.69963E-20
PPP1R26-AS1,2.70587E-24,-0.729727603,0.096,0.218,7.56832E-20
SDC2,2.80154E-24,0.405562338,0.404,0.204,7.83591E-20
PTPRD,3.06537E-24,0.489345179,0.849,0.675,8.57384E-20
VEZT,3.13321E-24,0.424824882,0.571,0.357,8.76359E-20
AC002074.1,3.15117E-24,0.437908375,0.114,0.011,8.81383E-20
NFE2L1,3.19078E-24,-0.631821768,0.089,0.202,8.92462E-20
STAMBPL1,3.31891E-24,0.43927436,0.154,0.033,9.28299E-20
ARSJ,3.41024E-24,0.417615624,0.396,0.2,9.53843E-20
AC005699.1,4.20849E-24,0.495153719,0.335,0.157,1.17712E-19
ATP9A,4.26604E-24,0.433539772,0.269,0.107,1.19321E-19
RYK,4.3652E-24,0.3918117,0.471,0.268,1.22095E-19
CUEDC1,5.32557E-24,0.413344939,0.334,0.156,1.48956E-19
RTN4,5.38937E-24,0.55995788,0.694,0.497,1.50741E-19
SOX9,5.6401E-24,0.26725671,0.219,0.071,1.57754E-19
KCNMB2-AS1,5.96101E-24,0.559012665,0.235,0.087,1.66729E-19
VDR,6.12199E-24,-0.66876847,0.068,0.175,1.71232E-19
TM7SF3,6.13016E-24,-0.798555973,0.306,0.432,1.7146E-19
SGPP2,6.15151E-24,0.585306798,0.455,0.265,1.72058E-19
GPC4,6.2531E-24,0.482882076,0.416,0.22,1.74899E-19
KMT2A,6.4097E-24,0.435564806,0.6,0.38,1.79279E-19
KIF2A,6.74001E-24,0.403677399,0.311,0.138,1.88518E-19
SCARA3,7.58243E-24,0.358750931,0.101,0.006,2.1208E-19
LRRTM4,8.35492E-24,0.744220023,0.154,0.034,2.33687E-19
ZMAT1,8.54485E-24,-0.79534304,0.326,0.446,2.38999E-19
AL136456.1,1.00615E-23,-0.403122971,0.033,0.119,2.81421E-19
ALDH8A1,1.065E-23,-0.468993077,0.034,0.121,2.9788E-19
B4GALT5,1.09481E-23,0.40421964,0.587,0.353,3.06219E-19
AC012593.1,1.1052E-23,0.48031681,0.374,0.185,3.09123E-19
DHTKD1,1.13252E-23,-0.729482826,0.164,0.295,3.16766E-19
ATP5MD,1.14122E-23,-0.305995772,0.031,0.116,3.19199E-19
PLCH1,1.32361E-23,0.420851492,0.39,0.201,3.70215E-19
TRIOBP,1.33439E-23,0.34291987,0.233,0.085,3.73228E-19
CAMK2N1,1.40906E-23,-0.614252685,0.072,0.178,3.94114E-19
TEAD4,1.41651E-23,0.354351101,0.179,0.048,3.96199E-19
MMP24,1.43273E-23,0.461665773,0.215,0.075,4.00735E-19
FGF13,1.59993E-23,-0.569248062,0.291,0.437,4.475E-19
HGSNAT,1.70571E-23,0.374095276,0.407,0.209,4.77086E-19
ZNHIT6,1.95516E-23,0.463239155,0.34,0.163,5.46858E-19
NUTM2B-AS1,1.99075E-23,0.444164777,0.508,0.305,5.56813E-19
SLC45A4,2.14748E-23,-0.643574654,0.082,0.191,6.0065E-19
MIR34AHG,2.15085E-23,0.473494285,0.214,0.074,6.01592E-19
LRRK1,2.22169E-23,0.395289292,0.161,0.039,6.21407E-19
MAL,2.25081E-23,-0.715984215,0.097,0.213,6.29553E-19
RIDA,2.32571E-23,-0.486037682,0.042,0.134,6.50501E-19
TASP1,3.11445E-23,0.398313808,0.631,0.402,8.71111E-19
PLEKHA7,3.14488E-23,-0.575276362,0.657,0.729,8.79622E-19
ARHGAP42,3.32744E-23,0.688477161,0.706,0.516,9.30684E-19
AP001831.1,3.38935E-23,0.485665018,0.154,0.038,9.48E-19
VGLL4,3.52566E-23,0.423078237,0.614,0.402,9.86127E-19
IL17RD,3.58287E-23,0.450051498,0.208,0.071,1.00213E-18
TMEM132D,3.7524E-23,0.710904922,0.165,0.043,1.04955E-18
FAM155A,3.77004E-23,0.719042168,0.254,0.102,1.05448E-18
KCNB1,4.28783E-23,0.441502649,0.113,0.013,1.19931E-18
AC027312.1,4.5671E-23,0.379894269,0.108,0.01,1.27742E-18
EDN1,4.85684E-23,0.319931425,0.246,0.092,1.35846E-18
RNASEK,4.9876E-23,-0.369091026,0.035,0.122,1.39503E-18
GTF2IRD1,5.03612E-23,0.526111473,0.518,0.32,1.4086E-18
IFI16,5.7798E-23,0.270196351,0.178,0.048,1.61661E-18
TPD52,6.08816E-23,-0.649232886,0.279,0.414,1.70286E-18
AL136962.1,6.60443E-23,-0.401798209,0.048,0.146,1.84726E-18
HEG1,6.68869E-23,0.360040569,0.196,0.062,1.87083E-18
PGM2L1,6.84042E-23,0.398011471,0.16,0.04,1.91327E-18
SHB,7.73668E-23,0.517915234,0.458,0.263,2.16395E-18
HMGA2,8.51096E-23,0.740678703,0.119,0.017,2.38051E-18
RND3,9.18885E-23,0.362731235,0.189,0.057,2.57012E-18
AC027018.1,1.0357E-22,0.427265333,0.17,0.048,2.89685E-18
NBAT1,1.09517E-22,0.346220983,0.106,0.01,3.06319E-18
CKB,1.10282E-22,-0.411566078,0.039,0.128,3.0846E-18
SPECC1,1.1537E-22,0.259927449,0.157,0.037,3.22689E-18
MAP4K5,1.18606E-22,0.3633206,0.519,0.304,3.31741E-18
BACE2,1.27476E-22,0.630998273,0.441,0.268,3.56552E-18
PPM1L,1.30905E-22,-0.650534924,0.202,0.341,3.66141E-18
TTC7B,1.47998E-22,0.382832545,0.505,0.298,4.1395E-18
LONRF3,1.5804E-22,-0.679666742,0.048,0.141,4.42037E-18
IL6R,1.64823E-22,-0.751281817,0.189,0.318,4.6101E-18
SYNDIG1,1.71184E-22,0.467644677,0.333,0.162,4.788E-18
SLC2A4RG,1.72703E-22,-0.64899393,0.111,0.226,4.8305E-18
TBC1D12,1.88276E-22,0.440196372,0.339,0.166,5.26608E-18
RPL22,1.94154E-22,-0.549330616,0.059,0.158,5.43048E-18
DACH1,1.96485E-22,-0.763235668,0.336,0.458,5.49568E-18
ELMSAN1,2.05728E-22,0.40883741,0.297,0.133,5.7542E-18
TSHZ3,2.1798E-22,0.46334091,0.129,0.023,6.09691E-18
RAD51B,2.22581E-22,0.440973394,0.753,0.542,6.22558E-18
EVL,2.25872E-22,0.319920007,0.356,0.17,6.31763E-18
ABL2,2.47452E-22,0.310267722,0.493,0.276,6.92123E-18
TIPARP,2.68928E-22,-0.685166609,0.077,0.181,7.52191E-18
HNRNPDL,2.81084E-22,-0.858899816,0.213,0.331,7.86191E-18
LINC01099,2.96634E-22,-0.433815438,0.026,0.103,8.29685E-18
SFXN5,2.99359E-22,-0.62069289,0.123,0.243,8.37307E-18
CERK,3.1737E-22,-0.52028029,0.045,0.134,8.87684E-18
PFDN1,3.25154E-22,0.428328977,0.303,0.141,9.09456E-18
DLGAP4,3.44251E-22,0.409128347,0.44,0.24,9.62869E-18
AMOTL2,3.44998E-22,0.28957341,0.27,0.11,9.64959E-18
SLC16A1-AS1,3.52325E-22,0.520334845,0.293,0.135,9.85452E-18
SPIDR,3.77406E-22,0.389453898,0.804,0.576,1.0556E-17
SLIT2,3.88229E-22,-0.637972923,0.519,0.61,1.08588E-17
KDM1B,3.95536E-22,0.388128412,0.204,0.07,1.10631E-17
UBE2Q2,4.02107E-22,0.350147428,0.309,0.14,1.12469E-17
PDE3B,4.51314E-22,-0.693899173,0.079,0.185,1.26233E-17
SERPINE1,4.78905E-22,1.839565087,0.154,0.04,1.3395E-17
BIN1,4.80944E-22,-0.735873097,0.099,0.207,1.3452E-17
RXRA,4.94342E-22,-0.558987999,0.062,0.161,1.38267E-17
BOD1L1,5.71406E-22,-0.885668948,0.338,0.441,1.59822E-17
AC016821.1,6.10511E-22,0.367995674,0.104,0.01,1.7076E-17
CCDC65,6.27994E-22,0.30734446,0.127,0.022,1.7565E-17
AC012459.1,6.8224E-22,0.429992551,0.137,0.029,1.90823E-17
AC007099.1,6.94958E-22,0.466169318,0.162,0.046,1.9438E-17
SMAD2,7.05164E-22,0.389061714,0.606,0.386,1.97234E-17
ATP1B3,7.08658E-22,-0.448579458,0.093,0.212,1.98212E-17
AC016027.2,7.12541E-22,0.447051509,0.123,0.021,1.99298E-17
