,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PIK3C2G,1.46395E-42,-0.897726204,0.107,0.279,4.09466E-38
KITLG,1.49472E-42,0.834363924,0.414,0.166,4.18072E-38
BMPR2,1.54974E-42,0.624555209,0.745,0.454,4.33462E-38
RPS3A,1.63714E-42,-0.427208772,0.022,0.141,4.57909E-38
SEL1L3,1.71189E-42,0.59949014,0.469,0.197,4.78815E-38
SPON2,1.92797E-42,0.552433039,0.303,0.079,5.39253E-38
KCNAB2,2.29844E-42,-0.493201459,0.008,0.104,6.42873E-38
STRN3,2.37823E-42,0.652392071,0.772,0.505,6.65191E-38
TBL1XR1,2.43671E-42,0.68868511,0.798,0.54,6.81547E-38
PHACTR2,2.69995E-42,0.602497131,0.579,0.294,7.55177E-38
DCHS2,2.761E-42,0.920662306,0.172,0.008,7.72252E-38
HSD11B2,2.81124E-42,-0.494305262,0.021,0.138,7.86304E-38
UACA,2.98321E-42,0.655773771,0.714,0.434,8.34405E-38
DOCK1,3.54559E-42,0.577275369,0.836,0.608,9.91701E-38
MYO5B,3.55015E-42,0.740680976,0.613,0.347,9.92978E-38
ATP11A,4.33586E-42,0.664666793,0.72,0.437,1.21274E-37
CHDH,4.97994E-42,-0.829786785,0.079,0.24,1.39289E-37
SLCO3A1,5.43462E-42,0.486106018,0.535,0.238,1.52006E-37
KDM5D,5.75762E-42,-0.442946315,0.01,0.109,1.61041E-37
TANC1,6.88047E-42,0.655110851,0.658,0.375,1.92447E-37
XKR4,7.13945E-42,0.848379674,0.322,0.099,1.9969E-37
ARNT2,7.48738E-42,0.639882605,0.49,0.233,2.09422E-37
KIFC3,8.7612E-42,0.752190763,0.791,0.573,2.45051E-37
PCSK5,9.15849E-42,-0.959796286,0.233,0.418,2.56163E-37
LTBP1,1.06296E-41,0.686270841,0.27,0.064,2.9731E-37
GABRP,1.54525E-41,0.710701422,0.219,0.034,4.32206E-37
EPB41L3,1.62222E-41,-0.544020931,0.394,0.623,4.53736E-37
GALNT18,1.94339E-41,-1.002152775,0.325,0.506,5.43565E-37
KHDRBS1,2.64879E-41,0.644769704,0.507,0.24,7.40867E-37
ACSL1,2.87646E-41,-0.822990619,0.13,0.304,8.04546E-37
SNTG1,3.11662E-41,-0.585368689,0.018,0.128,8.71718E-37
GRM8,3.2239E-41,0.648593808,0.267,0.064,9.01724E-37
FGF2,3.849E-41,0.685198375,0.243,0.049,1.07657E-36
AL078590.2,3.95276E-41,-0.636926871,0.011,0.111,1.10559E-36
TANK,4.51599E-41,0.697398577,0.586,0.314,1.26312E-36
LPAR1,4.75418E-41,0.54220938,0.212,0.031,1.32975E-36
RPL17,5.60535E-41,-0.468332066,0.028,0.152,1.56782E-36
GULP1,5.93186E-41,0.605245017,0.788,0.52,1.65914E-36
