,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PRKCZ,0,-0.771136847,0.16,0.405,0
TNFRSF14,0,-1.04387641,0.121,0.408,0
KCNAB2,0,-1.048270917,0.007,0.291,0
ESPN,0,-1.681642982,0.005,0.479,0
ERRFI1,0,-1.644667138,0.419,0.851,0
SLC25A33,0,-0.657862756,0.103,0.332,0
DHRS3,0,-1.043562585,0.072,0.346,0
KAZN,0,2.68836944,0.837,0.266,0
AGMAT,0,-0.708178331,0.022,0.234,0
ALDH4A1,0,-1.474194878,0.104,0.549,0
IFFO2,0,1.46365392,0.335,0.051,0
EIF4G3,0,1.03539622,0.767,0.547,0
CLIC4,0,1.684769443,0.734,0.395,0
MACF1,0,0.919473641,0.889,0.806,0
SCMH1,0,0.907772341,0.805,0.641,0
EBNA1BP2,0,-2.411733648,0.124,0.789,0
FAAH,0,-0.757628013,0.093,0.329,0
CYP4A11,0,-1.444245027,0.011,0.45,0
CYP4A22-AS1,0,-2.466203728,0.04,0.646,0
AGBL4,0,1.66805719,0.825,0.457,0
AC104170.1,0,-0.897646138,0.017,0.251,0
ZYG11A,0,-1.497305858,0.055,0.472,0
DIO1,0,-0.85192167,0.012,0.228,0
FAM151A,0,-0.963405776,0.011,0.288,0
FGGY,0,-1.917721727,0.45,0.919,0
AK4,0,-2.107810516,0.137,0.732,0
GADD45A,0,-1.603245879,0.079,0.503,0
LINC01788,0,-1.392101127,0.051,0.432,0
PTGER3,0,-1.049693661,0.118,0.41,0
TTLL7,0,1.031527489,0.289,0.049,0
CCN1,0,1.047861372,0.277,0.022,0
AC098656.1,0,-0.789271817,0.03,0.231,0
TGFBR3,0,-0.782606117,0.268,0.529,0
ARHGAP29,0,1.180559667,0.799,0.583,0
RTCA-AS1,0,-0.679662367,0.033,0.204,0
LINC01349,0,-1.075794122,0.009,0.232,0
VCAM1,0,1.113302722,0.368,0.086,0
AL121999.1,0,-0.87897741,0.01,0.245,0
ATP1A1,0,-1.056726617,0.254,0.563,0
SPAG17,0,1.131984459,0.342,0.069,0
HAO2,0,-1.173259711,0.01,0.325,0
ADAMTSL4-AS1,0,1.046289341,0.333,0.071,0
