,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TNFAIP2,1.1681E-121,0.95443724,0.18,0.027,3.2673E-117
KIF16B,1.2908E-121,-0.470465019,0.287,0.519,3.6102E-117
IGSF11,1.7805E-121,-0.32100106,0.028,0.127,4.9799E-117
MALT1,1.9122E-121,1.052014654,0.413,0.239,5.3484E-117
ATP5F1A,1.9506E-121,-0.294598567,0.092,0.251,5.4558E-117
LPIN1,2.5537E-121,-0.40922771,0.099,0.255,7.1427E-117
EEF1A1,7.229E-121,1.020659443,0.413,0.226,2.022E-116
TMPRSS4,1.0255E-120,0.695279534,0.149,0.009,2.8684E-116
DDX17,1.2189E-120,-0.43663918,0.748,0.914,3.4092E-116
AC005062.1,3.2713E-120,0.834116183,0.374,0.183,9.15E-116
LINC01435,4.2997E-120,-0.622389282,0.045,0.159,1.2026E-115
NUAK2,1.8881E-119,-0.695538536,0.095,0.241,5.281E-115
TENT5A,1.948E-119,0.792642252,0.234,0.065,5.4487E-115
CDC42SE2,2.9786E-119,0.880388756,0.575,0.421,8.3311E-115
ZHX3,3.1333E-119,-0.432070093,0.325,0.57,8.7639E-115
TNRC6A,3.593E-119,-0.489638156,0.618,0.828,1.005E-114
GPR157,5.4231E-119,-0.291939488,0.029,0.129,1.5168E-114
CBLB,7.6457E-119,-0.639136189,0.453,0.647,2.1385E-114
ZFPM2-AS1,2.4643E-118,0.812171897,0.19,0.036,6.8926E-114
SRSF2,2.4877E-118,-0.273297785,0.098,0.258,6.9581E-114
RBPMS,3.4127E-118,0.421670478,0.953,0.927,9.5454E-114
AC013652.1,3.7609E-118,-0.474685886,0.098,0.25,1.0519E-113
NEAT1,7.2877E-118,0.566460374,0.959,0.96,2.0384E-113
UQCRH,9.4672E-118,-0.413714287,0.113,0.274,2.648E-113
CABLES1,1.0284E-117,1.247800736,0.281,0.112,2.8763E-113
BCAR3,1.2417E-117,-0.536056022,0.263,0.474,3.4731E-113
