"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"1","LOC127239154",0.928343151623655,-0.00481129778904204,0.129670959562683,0.657010419829965,NA,"Not Significant"
"2","LOC124905685",0.89834747476372,0.00400172268859418,0.129721205621911,0.631804476464881,NA,"Not Significant"
"3","LOC101928626",0,NA,NA,NA,NA,"Not Significant"
"4","OR4F16",0,NA,NA,NA,NA,"Not Significant"
"5","LOC100288069",106.790866563423,-0.0211193203597869,0.116809783154727,0.688350882276276,0.878646049440837,"Not Significant"
"6","LINC01409",6.14174351918265,-0.0404735864355713,0.137613018109232,0.0545705857250475,NA,"Not Significant"
"7","FAM87B",0,NA,NA,NA,NA,"Not Significant"
"8","LINC00115",30.3283116970557,0.0127630557080681,0.122577905656122,0.765516400716998,0.913841423177857,"Not Significant"
"9","LINC01128",391.654025362049,0.0313680552667335,0.100449511548736,0.632264921202566,0.848189698148523,"Not Significant"
"10","LOC107984850",0.201044317017713,0.000216648607742044,0.12982510853931,0.994841965410749,NA,"Not Significant"
"11","FAM41C",0.94911048411968,4.8506365789693e-05,0.129770312601906,0.99051301225828,NA,"Not Significant"
"12","LOC124905686",6.1732931715583,-0.00406093941276458,0.128075951596558,0.853613054873507,NA,"Not Significant"
"13","LINC02593",66.5976422725115,-0.0616617469848405,0.146047141710242,0.0896327941953368,0.33965729911444,"Not Significant"
"14","LOC107985728",119.30748471758,-0.069612296464383,0.150854032192467,0.0799374515642181,0.319091417703802,"Not Significant"
"15","SAMD11",453.702608447373,-0.0260839484832979,0.131756302443636,0.243301423042955,0.562157077242929,"Not Significant"
"16","NOC2L",5752.7512197805,0.0911210107753835,0.0633570767965335,0.101386755211437,0.363247442814188,"Not Significant"
"17","KLHL17",995.435431733074,-0.101898832068183,0.107475544375083,0.165485817517012,0.46856817359085,"Not Significant"
"18","PLEKHN1",416.2272428877,0.0715116951579123,0.119739149667586,0.289482365006905,0.614611410554625,"Not Significant"
"19","PERM1",2.45307561952866,0.00788240334473117,0.129538001336282,0.540132970880399,NA,"Not Significant"
"20","HES4",720.47460741345,0.372312777349398,0.262266422746973,0.00760185244239909,0.0760517829829133,"Not Significant"
"21","ISG15",3037.61857679026,0.0422594791470108,0.139180667744918,0.0083612542618328,0.081439659494151,"Not Significant"
"22","AGRN",29121.8567719056,-0.000675816285133853,0.0869109836620601,0.99015570138132,0.996294424045472,"Not Significant"
"23","LOC100288175",113.392316385473,0.0360306958364178,0.110718099004771,0.570839673132619,0.816190397342722,"Not Significant"
"24","LOC105378948",23.0692467323361,-0.0718640480084232,0.150309773482109,0.101427818714265,0.363247442814188,"Not Significant"
"25","RNF223",1.03547811350616,0.00502310199390592,0.129712947996319,0.551820307418845,NA,"Not Significant"
"26","C1orf159",705.741162983567,-0.0579068050453587,0.0818388908033098,0.370465603348305,0.687560287212522,"Not Significant"
"27","LOC124903820",5.34155108612971,0.00208356461513405,0.128950597196757,0.880414622681287,NA,"Not Significant"
"28","LINC01342",0.74511451236022,0.0049199704612481,0.12978487540992,0.502561737729184,NA,"Not Significant"
"29","LOC124903818",103.142316257905,-0.0542443010862134,0.126776248563059,0.336668950368974,0.659717954368964,"Not Significant"
"30","MIR200B",0,NA,NA,NA,NA,"Not Significant"
"31","MIR200A",0,NA,NA,NA,NA,"Not Significant"
"32","MIR429",0,NA,NA,NA,NA,"Not Significant"
"33","TTLL10-AS1",0.0579576166214185,-0.000180522981933169,0.129852465059912,1,NA,"Not Significant"
"34","TTLL10",0.364753473767433,-0.00150606092006498,0.12979822663087,0.954728060555219,NA,"Not Significant"
"35","TNFRSF18",0.0579576166214185,-0.000180522981933169,0.129852465059912,1,NA,"Not Significant"
"36","TNFRSF4",0.473270420336034,-0.000292742257201441,0.129757544847079,0.937854825672272,NA,"Not Significant"
"37","SDF4",6762.02835882102,0.0296062075855861,0.0627853422252185,0.612302477614129,0.837238456073792,"Not Significant"
"38","B3GALT6",1517.8745820437,-0.0757208593046239,0.141443847986804,0.176759867689862,0.483556097487027,"Not Significant"
"39","C1QTNF12",19.3696351947174,-0.0320540476298015,0.129594916203526,0.381897846807001,NA,"Not Significant"
"40","UBE2J2",2891.86457925914,-0.0400147804196152,0.0813130866408936,0.551061571119966,0.805559566222205,"Not Significant"
"41","LINC01786",74.2366716118639,0.0584820490158723,0.129807209444318,0.298815029491905,0.625069986532032,"Not Significant"
"42","SCNN1D",147.774988416733,-0.0323482350838803,0.110761386147464,0.598972655214635,0.830560444854153,"Not Significant"
"43","ACAP3",1797.79108517279,-0.0521176378822739,0.095306802118639,0.437027166074498,0.734742947934001,"Not Significant"
"44","MIR6726",0,NA,NA,NA,NA,"Not Significant"
"45","SNORD167",0,NA,NA,NA,NA,"Not Significant"
"46","PUSL1",650.125552274224,0.0573147009413998,0.0874293773525392,0.383857055777034,0.697229437813214,"Not Significant"
"47","INTS11",2070.78341109279,-0.123963398242867,0.084188748036209,0.0667475092239125,0.288531700901558,"Not Significant"
"48","MIR6727",0,NA,NA,NA,NA,"Not Significant"
"49","CPTP",1635.51231503335,0.0799785841363233,0.0880230870514806,0.235488009960958,0.553190706708349,"Not Significant"
"50","TAS1R3",10.7140592202033,-0.0524128093666972,0.142097022695391,0.0763564352080238,NA,"Not Significant"
"51","DVL1",5231.24055797218,0.00803290298089817,0.0674296640884347,0.892481248539314,0.963968956919266,"Not Significant"
"52","MIR6808",0,NA,NA,NA,NA,"Not Significant"
"53","MXRA8",11.1467132755458,0.0238788972436857,0.130683853740345,0.322687764370255,NA,"Not Significant"
"54","AURKAIP1",3756.86408299726,-0.0850507769923385,0.0751655561948102,0.172598983450832,0.47798664814673,"Not Significant"
"55","CCNL2",3479.60453029941,-0.0385475432400425,0.0947559109175396,0.543975996646342,0.801675855391039,"Not Significant"
"56","MRPL20-AS1",295.578465271016,0.183740161462908,0.145205264739651,0.0394772967851345,0.210012644328185,"Not Significant"
"57","MRPL20",1746.90377872015,-0.178522879276687,0.0865086253697563,0.0114364363389329,0.100713729789287,"Not Significant"
"58","MRPL20-DT",147.947209763261,0.08938459564539,0.131633329129124,0.199678855812919,0.511479190532271,"Not Significant"
"59","ANKRD65",5.89217383918905,0.000161114256632205,0.12880139656677,0.99963535167708,NA,"Not Significant"
"60","ANKRD65-AS1",0.613960613954478,0.00428172221454122,0.129848143669695,0.655559221531206,NA,"Not Significant"
"61","TMEM88B",0.356255557382571,0.00240925793918607,0.129824032115977,0.711815015989738,NA,"Not Significant"
"62","LINC01770",0.103650364579578,-0.000878638379162248,0.129853912482969,0.846446669673768,NA,"Not Significant"
"63","LOC107985729",0.202237947149091,0.000694477197131439,0.129836894574517,0.911796239354427,NA,"Not Significant"
"64","VWA1",110.336089549916,-0.00575295947923108,0.114967467419984,0.934174793487481,0.980130391345667,"Not Significant"
"65","ATAD3C",28.7908598936489,0.0101282641351976,0.123646406514184,0.799744169280259,0.93011206447944,"Not Significant"
"66","ATAD3B",2785.87128123046,0.0280504089342812,0.0697887642547485,0.664614941526158,0.866309233057363,"Not Significant"
"67","ATAD3A",4002.86520533463,0.113005450366083,0.0801711899708476,0.100722378550564,0.362430371358981,"Not Significant"
"68","TMEM240",55.2590227402516,-0.0412825718626812,0.126133154518591,0.412890741092326,0.717437426812801,"Not Significant"
"69","SSU72",2922.0242346414,0.0186650140009236,0.0672887857825671,0.740497158967246,0.90327888447521,"Not Significant"
"70","FNDC10",402.168381773786,0.124132679140784,0.118221489316601,0.103269883092419,0.366715059844352,"Not Significant"
"71","LOC105378586",3.10102851258484,0.00612287971796287,0.1293249573242,0.662187239210344,NA,"Not Significant"
"72","MIB2",1281.0980799585,-0.0796385089026274,0.114088503381548,0.265398588511582,0.588403677161922,"Not Significant"
"73","MMP23B",3.28974892671581,-0.00798124834647935,0.129453206181683,0.55370572728481,NA,"Not Significant"
"74","CDK11B",1693.14751709217,0.0186691004157194,0.0746101421698438,0.762582428035732,0.912651071063164,"Not Significant"
"75","SLC35E2B",748.237610360181,-0.209765987587307,0.101884312227312,0.00926728120332093,0.0870084417586344,"Not Significant"
"76","MMP23A",1.78731667163018,-0.00624035867539115,0.129580032986454,0.580718685645628,NA,"Not Significant"
"77","CDK11A",551.500611437068,0.0267268545904154,0.0760190914163559,0.658662038895535,0.862526316656735,"Not Significant"
"78","SLC35E2A",786.09251393751,-0.128989229041695,0.102365425117047,0.0911036133380762,0.342158686554644,"Not Significant"
"79","LOC112268218",1.62964126031258,0.00632296778733611,0.129607186469046,0.565305404318559,NA,"Not Significant"
"80","NADK",2317.20737576818,0.143138345038161,0.0802037869391984,0.0307749562119692,0.179863111652072,"Not Significant"
"81","GNB1",18110.165345381,-0.0436612451947812,0.0829734528777909,0.514387089740467,0.782042790326633,"Not Significant"
"82","GNB1-DT",16.8440193525055,0.0458460156181197,0.138481285378664,0.112517067420208,NA,"Not Significant"
"83","CALML6",8.27740239084926,-0.025459292359862,0.131402709541276,0.264473572601358,NA,"Not Significant"
"84","TMEM52",18.6145550270626,-0.0160410159075141,0.124730338264704,0.674679163140205,NA,"Not Significant"
"85","CFAP74",6.0617572122567,-0.0310643796608495,0.134395099239353,0.0654566159025041,NA,"Not Significant"
"86","LOC107984872",0.260240138989217,-0.00113724130054618,0.1298508245751,0.848811617811016,NA,"Not Significant"
