,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,Regulation
76,MMP23A,1.787316672,-0.019605353,0.176347856,0.303436115,NA,Not Significant
77,CDK11A,551.5006114,-0.085139514,0.085435044,0.257727245,0.546358437,Not Significant
78,SLC35E2A,786.0925139,-0.10673424,0.099676624,0.199849643,0.472266083,Not Significant
79,LOC112268218,1.62964126,0.018624164,0.176027517,0.366129982,NA,Not Significant
80,NADK,2317.207376,-0.144006381,0.079976202,0.042967597,0.182450022,Not Significant
81,GNB1,18110.16535,0.055551181,0.090122922,0.469433729,0.738116889,Not Significant
82,GNB1-DT,16.84401935,0.049567042,0.17793909,0.318447876,NA,Not Significant
83,CALML6,8.277402391,-0.03795439,0.176356226,0.369528872,NA,Not Significant
84,TMEM52,18.61455503,-0.021970374,0.162708314,0.731697716,NA,Not Significant
85,CFAP74,6.061757212,-0.015790949,0.173798228,0.624706176,NA,Not Significant
86,LOC107984872,0.260240139,0.003004707,0.175754496,0.916854586,NA,Not Significant
87,LOC105378589,0.053667306,-0.000311351,0.17577668,1,NA,Not Significant
88,GABRD,0.788687824,0.004703132,0.175127754,0.778462783,NA,Not Significant
89,LOC105378590,0.111259073,-0.002883007,0.175773593,0.857939698,NA,Not Significant
90,PRKCZ,664.5211914,-0.028634803,0.108752505,0.741596489,0.894306191,Not Significant
91,PRKCZ-DT,0.485897022,0.008632117,0.1759377,0.502850017,NA,Not Significant
92,PRKCZ-AS1,39.48047652,-0.053015199,0.159376759,0.501444147,0.761969416,Not Significant
93,FAAP20,1621.370604,-0.142827702,0.110515823,0.112254732,0.33498714,Not Significant
94,LOC112268219,20.08435828,0.898494717,0.564724043,0.003236513,NA,Not Significant
95,SKI,3495.489015,0.143446514,0.183865563,0.175940343,0.438758338,Not Significant
96,LOC124905687,31.19530501,0.019843965,0.170746403,0.665650575,0.858086658,Not Significant
97,LOC124903824,49.8470923,-0.031665523,0.152309665,0.688981667,0.868823707,Not Significant
98,MORN1,170.0441142,0.110195278,0.131940165,0.255107857,0.542441895,Not Significant
99,LOC100129534,33.04971186,-0.040984137,0.160846411,0.576222825,0.808183994,Not Significant
100,RER1,4664.699033,-0.088170332,0.085194142,0.234341856,0.516654867,Not Significant
101,PEX10,1189.570531,0.148550803,0.077345058,0.029703064,0.140883178,Not Significant
102,PLCH2,18.39567274,0.0077828,0.164112577,0.896105224,NA,Not Significant
